Tow Date,Vehicle Year,Vehicle Make,Vehicle Model,Tow Reason,Storage Company,Notes,Incident Date,Location,City,Geo-location field
08/29/2020,2006,KIA,SPC,PRV,tcl,"EXP TAG// HENRY'S, 301-869-4800, TCL  7 DAY TRANSPORT TAG",08/31/0020,9615 MARATHON TER,GAITHERSBURG,POINT (-77.19401 39.113375)
08/15/2020,2015,INFI,QX70,PKG,Henry's,INVALID PERMIT // HENRYS // 3018694800 // TCL,08/17/0020,5101 RIVER RD,BETHESDA,POINT (-77.101841 38.963548)
08/13/2020,2012,KIA,SOL,NOP,henrys,,08/15/0020,1131 UNIVERSITY BLVD W,SILVER SPRING,POINT (-77.029691 39.036547)
08/01/2020,2015,LEXS,R35,nop,NULL,NO PERMIT // BIG TOW 301 424 4869 //TO TCL,01/22/0008,7157 MILL RUN DR,DERWOOD,POINT (-77.146048 39.144222)
08/28/2020,2015,MAZD,MZ6,PKG,Ricky's,PKG // RICKYS// 240 461 9995 // TCL,08/30/0020,1010 RIPLEY ST,SILVER SPRING,POINT (-77.027645 38.992475)
08/28/2020,2017,HOND,ACC,VISITOR SPACE,HENRYS,EXCEDING VISITOR SPACE // 72 HR LIMIT - BTL  HENRTYS 301 869 4800,08/30/0020,60 TIMBER ROCK RD,GAITHERSBURG,POINT (-77.24876 39.120824)
08/17/2020,2009,NISS,ALT,NOP,TCL,NOP // AUBURN // 301-977-2740 // TCL,08/19/0020,112 DUVALL LN,GAITHERSBURG,POINT (-77.202556 39.128982)
08/06/2020,2008,TOYT,CAM,NOP,tcl,"INVALID PERMIT// HENRY'S, 301-869-4800, TCL  VIN COVERED",06/22/0008,18712 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204407 39.163202)
08/30/2020,2006,CHEV,NULL,NOP,Diversified,NO PERMIT / DIVERSIFED  301 881 8035 TCL,09/01/0020,12407 BRAXFIELD CT,ROCKVILLE,POINT (-77.105215 39.057319)
08/02/2020,2019,FORD,FUS,NOP,TCL,BIG TOW // 301-424-4869 // TCL // NO PERMIT,02/22/0008,18593 SPLIT ROCK LN,GERMANTOWN,POINT (-77.267714 39.159461)
08/04/2020,2014,HOND,ACC,PRV,TCL,RESERVED SPACE // ON THE RUN  301.740.4600 TCL,04/22/0008,3202 HEWITT AVE,SILVER SPRING,POINT (-77.064402 39.079781)
08/09/2020,2010,ACUR,MDX,NOP,TCL,NOP//HENRYS//3018694800,09/22/0008,12001 OLD COLUMBIA PIKE,SILVER SPRING,POINT (-76.975033 39.053272)
08/01/2020,2011,KIA,SPT,NOP,TCL,NOP // DRIVE // 301-585-8808 // TCL,01/22/0008,1801 HAMPSHIRE GREEN LN,SILVER SPRING,POINT (-76.974173 39.015179)
08/27/2020,2006,HOND,ACC,NOP,Drive,NOP // DRIVE 301-585-8808 // TCL,08/29/0020,475 SOUTHAMPTON DR,SILVER SPRING,POINT (-76.984197 39.0062)
08/16/2020,2018,KIA,OPI,PKG,tcl,RES SPACE // AUTHORIZED @ 301.562.4020 // TCL,08/18/0020,20022 APPLEDOWRE CIR,GERMANTOWN,POINT (-77.233119 39.1856)
08/06/2020,2016,HOND,ACC,NOP,tcl,NOP  AUTHORIZED 301-562-4020 TCL,06/22/0008,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
08/17/2020,2003,MAZD,6,NOP,HENRYS,NOP VISTOR// TCL(301) 869-4800 HENRYS TOWING,08/19/0020,18802 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204927 39.164385)
08/02/2020,2011,BMW,535,PRV,AM TOWING,ABANDONED  - HOA  A&M 301-421-0953  TCL,02/22/0008,12109 ISLAND VIEW CIR,GERMANTOWN,POINT (-77.252713 39.165706)
08/09/2020,2020,TOYT,CAM,NOP,SPEEDY,SPEEDY 301-588-1322 // NOP // TCL    TAG IS A NEBRASKA TAG BUT NE WAS NOT AVAILABLE IN DROP DOWN,09/22/0008,14010 COVE LN,ROCKVILLE,POINT (-77.120228 39.08488)
08/15/2020,2015,TOYT,RAV,NOP,TCL,PRIVATE PROP // PRESTIGE // 301-377-9285 // TCL,08/17/0020,1599 E JEFFERSON ST,ROCKVILLE,POINT (-77.129159 39.062423)
08/03/2020,11,TOYT,COR,NOP,tcl,NOP // HENRYS // 3018694800 // TCL,03/22/0008,18800 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204922 39.164377)
08/31/2020,11,ACUR,,NOP,HENRYS,HENRYS 301-927-0007 TCL,09/02/0020,8006 EASTERN DR,SILVER SPRING,POINT (-77.032186 38.98903)
08/17/2020,2019,TOYT,CAM,NOP,rickys,NOP//RICKYS//240-461-9995//TCL,08/19/0020,11500 ELKIN ST,SILVER SPRING,POINT (-77.049186 39.044332)
08/30/2020,2007,HOND,CIV,PKG,TCL,PKG  PRESTIGE 301-377-9285  TCL,09/01/0020,430 ALLIED PL,GAITHERSBURG,POINT (-77.16 39.161)
08/08/2020,13,KIA,SOR,PKG,tcl,BLOCKING ENTRANCE // DRIVE TOWING 301-585-8808 // BTL,08/22/0008,9001 MANCHESTER RD,SILVER SPRING,POINT (-77.011065 39.002581)
08/29/2020,2007,TOYT,YAR,PKG,TCL,RESERVED SPACE // AUTHORIZED // 301-562-4020 // TCL,08/31/0020,18115 COPPS HILL PL,MONTGOMERY VILLAGE,POINT (-77.19565 39.15361)
08/30/2020,2019,HOND,CIV,NOP,authorize,,09/01/0020,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
08/08/2020,,ACUR,TL,NOP,TCL,NO PERMIT  HENRYS- 301-869-4800  BACK TO LOT,08/22/0008,12909 CHURCHILL RIDGE CIR,GERMANTOWN,POINT (-77.267623 39.18688)
08/26/2020,2010,TOYT,CAM,PKG,TCL,DRIVE 301-585-8808  PARKED IN GRASS   TCL,08/28/0020,1700 HAMPSHIRE GREEN LN,SILVER SPRING,POINT (-76.976193 39.015061)
08/12/2020,2001,CHEV,AST,ABN,VRS,ABN// SILVER SPRING 301-589-7878// AAU  VRS 20-2267    OWNER NOTIF,12/22/0008,WATKINS MILL RD / MILLSTREAM DR,MONTGOMERY VILLAGE,
08/02/2020,2016,HYUN,SON,NOP,TCL,NOP // HENRYS @ 301-927-0007 // TCL    VIN IS UNREADABLE,02/22/0008,10915 AMHERST AVE,SILVER SPRING,POINT (-77.048022 39.034899)
08/10/2020,2006,HOND,PLT,FIRE,TCL,FIRE- AUTHORIZED- 301-562-4020- TCL,10/22/0008,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
08/23/2020,2006,ISU,NULL,PKG,tcl,RESERVED SPACE ON THE RUN TOWING 301-740-4600,08/25/0020,851 E GUDE DR,ROCKVILLE,POINT (-77.140529 39.100434)
08/22/2020,2017,INFI,Q50,NOP,henrys,,08/24/0020,5901 MONTROSE RD,ROCKVILLE,POINT (-77.1192 39.052973)
08/07/2020,2013,ACUR,TL,PKG,henry's,"UNREADABLE VIN //   PKG  HENRY'S ,   301-927-0007, TCL",07/22/0008,1131 UNIVERSITY BLVD W,SILVER SPRING,POINT (-77.029691 39.036547)
08/02/2020,2019,HYUN,SON,PKG,drive,,02/22/0008,1707 HAMPSHIRE GREEN LN,SILVER SPRING,POINT (-76.975022 39.016055)
08/22/2020,2016,NISS,ALT,NOP,Henry's,VIN IS BLOCKED  FIRE LANE   HENRYS 301-869-4800  TCL,08/24/0020,1131 UNIVERSITY BLVD W,SILVER SPRING,POINT (-77.029691 39.036547)
08/04/2020,2013,FORD,F15,PKG,tcl,NO OPEN BED PICK UP TRUCKS ALLOWED// HENRY'S 301.869.4800// TCL,04/22/0008,20204 GRAZING WAY,MONTGOMERY VILLAGE,POINT (-77.193884 39.188415)
08/03/2020,1998,HOND,CRV,NOP,TCL,NO PERMIT // TCL // AUTHORIZED  301-562-3020,03/22/0008,355 ELMCROFT BLVD,ROCKVILLE,POINT (-77.165358 39.113576)
08/10/2020,2013,TOYP,CAM,PRV,am towing,AM TOWING 301-421-0153  NO PERMIT,10/22/0008,12525 LAUREL GROVE PL,GERMANTOWN,POINT (-77.25908 39.169249)
08/02/2020,2018,HOND,FIT,NOP,TCL,VIN UNREADABLE // NOP // HENRYS // 301-927-0007 // TCL,02/22/0008,8806 LANIER DR,SILVER SPRING,POINT (-77.047481 38.999998)
08/12/2020,2011,VOLK,JET,NOP,AUTHORIZE,,12/22/0008,9909 GABLE RIDGE TER,ROCKVILLE,POINT (-77.207015 39.108376)
08/21/2020,2019,INFI,QX6,NOP,Speedy,NOP // SPEEDY 301-588-1322 // TCL,08/23/0020,8203 WHISPERING OAKS WAY,GAITHERSBURG,POINT (-77.166699 39.156868)
08/04/2020,,FORD,ECO,PRV,tcl,AUTHORIZE 301-562-4020  NO PERMIT / TCL,04/22/0008,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
08/11/2020,2002,GMC,SAV,NOP,TCL,NO PERMIT // AUTHORIZED 301-562-4020 // TCL,11/22/0008,11625 LOCKWOOD DR,SILVER SPRING,POINT (-76.983142 39.041448)
08/06/2020,2015,FORD,E50,PRV,henry's towing,HENRY'S TOWING 301-927-0007  UNAUTHORIZED PARKING,06/22/0008,12015 CRIMSON LN,SILVER SPRING,POINT (-76.973862 39.052117)
08/12/2020,2014,HYUN,VELOSTER,NOP,TCL,NOP  AUBURN TOWING 301-977-2740  TCL,12/22/0008,374 N SUMMIT AVE,GAITHERSBURG,POINT (-77.193068 39.149053)
08/22/2020,2009,TOYT,CAM,NOP,Diversified,NOP // DIVERSIFIED 301-881-8035 // TCL,08/24/0020,7500 WESTFIELD DR,BETHESDA,POINT (-77.12413 38.984295)
08/24/2020,2016,VOLK,JET,PRV,TCL,AUTHORIZED 301-562-4020  NO PERMIT // TCL,08/26/0020,13211 TWINBROOK PKWY,ROCKVILLE,POINT (-77.113125 39.072046)
08/20/2020,2013,HOND,CIV,PKG,TCL,SPEEDY 3015881322  ILL PARKED   TCL,08/22/0020,12389 GEORGIA AVE,SILVER SPRING,POINT (-77.050292 39.059443)
08/04/2020,2001,ACUR,ATL,FIRE,TCL,PARKED IN YELLOW FIRE LANE // AUTHORIZED 301.562.4020 TCL,04/22/0008,20107 LOADING ROCK PL,MONTGOMERY VILLAGE,POINT (-77.17894 39.185807)
08/04/2020,2011,NISS,ALT,ABN,TCL,NO OVERNIGHT PARKING// HENRY'S 301.869.4800// TCL,04/22/0008,9140 ROTHBURY DR,MONTGOMERY VILLAGE,POINT (-77.189212 39.185518)
08/23/2020,2012,CHEV,CRU,NOP,tcl,HENRYS 301-869-4800 // EXP PERMIT // TCL,08/25/0020,11215 GEORGIA AVE,SILVER SPRING,POINT (-77.050954 39.039125)
08/29/2020,2006,JEEP,CMD,NOP,Authorized,NOP // AUTHORIZED 301-562-4020 //TCL,08/31/0020,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
08/12/2020,2001,HOND,CRV,NOP,Drive,NOP // DRIVE 301-585-8808 // TCL,12/22/0008,9316 PINEY BRANCH RD,SILVER SPRING,POINT (-76.987194 39.00337)
08/13/2020,2010,TOYT,CAM,PKG,Ricky's,PARKED IN FIRE LANE // RICKYS TOWING 240-461-9995 // TCL,08/15/0020,19246 CIRCLE GATE DR,GERMANTOWN,POINT (-77.263797 39.170598)
08/26/2020,2014,NISS,SEN,NOP,LED,NOP // LED @ 301-556-8006 // TCL,08/28/0020,8720 GEORGIA AVE,SILVER SPRING,POINT (-77.030333 38.997976)
08/08/2020,2017,HOND,CIV,nop,tcl,NOP // SPEEDY 301-588-1322 TCL,08/22/0008,14012 COVE LN,ROCKVILLE,POINT (-77.1202 39.084865)
08/31/2020,2013,HYUN,ELN,EXP,tcl,EXP PERMIT // HENRYS @ 301-869-4800 // TCL    VIN IS BLOCKED,09/02/0020,5901 MONTROSE RD,ROCKVILLE,POINT (-77.1192 39.052973)
08/29/2020,2019,GMC,SRA,PKG,NULL,VIN IS UNREADABLE  NO OVERNIGHT PARKING // HENRY'S 301 927 0007 // TO TCL,08/31/0020,8635 FLOWER AVE,TAKOMA PARK,POINT (-77.003481 38.997808)
08/20/2020,2002,TOYT,CAM,NOP,tcl,NOP // AUTHORIZED 301-562-4020 TCL,08/22/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
08/07/2020,2003,HOND,PLT,ABN,tcl,ABD // HENRY'S 301-869-4800 // TCL,07/22/0008,20400 OBSERVATION DR,GERMANTOWN,POINT (-77.248705 39.193427)
08/12/2020,2015,KIA,OPT,PKG,tcl,VIN BLOCKED // RESIDENT PARKED IN VISITOR SPACE // HENRYS// 301-869-4800 // TCL,12/22/0008,3619 CASTLE TER,SILVER SPRING,POINT (-76.937755 39.089111)
08/29/2020,,NISS,ALT,PRV,NULL,RESERVED SPACE,08/31/0020,7401 NEW HAMPSHIRE AVE,TAKOMA PARK,POINT (-76.988312 38.983333)
08/02/2020,2012,TOYT,COA,PKG,TCL,PARKING // HENRYS // 301-927-0007 // TCL,02/22/0008,909 THAYER AVE,SILVER SPRING,POINT (-77.024703 38.993027)
08/17/2020,2019,TOYT,RAV,NOP,authorized,NOP//AUHTORIZED//301-562-4020//TCL,08/19/0020,9901 GABLE RIDGE TER,ROCKVILLE,POINT (-77.20676 39.108236)
08/05/2020,2019,JEEP,GCH,NOP,TCL,NOP// AUTHORIZED TOWING 301.562.4020// TCL,05/22/0008,11101 GEORGIA AVE,SILVER SPRING,POINT (-77.049899 39.036441)
08/30/2020,2017,HYUN,ACC,NOP,TCL,NOP// HENRYS 301-869-4800/TCL,09/01/0020,14125 ARBOR FOREST DR,ROCKVILLE,POINT (-77.210194 39.08799)
08/07/2020,2017,ACUR,ATL,FIRE,HENRYS,,07/22/0008,970 WEST SIDE DR,GAITHERSBURG,POINT (-77.204106 39.125442)
08/06/2020,2019,VOLK,PAS,PRV,TCL,REASON: PRV PROPERTY/PRESTIGE/301-377-9285/TCL,06/22/0008,3525 SHEFFIELD MANOR TER,SILVER SPRING,POINT (-76.935528 39.080649)
08/01/2020,2014,HOND,ACC,NOP,Henry's,NOP // HENRYS 301-869-4800 //TCL,01/22/0008,21225 LAKE SPRAY TER,GERMANTOWN,POINT (-77.266332 39.206346)
08/31/2020,2006,ACUR,TSX,NOP,NULL,NO PERMIT DISPLAYED// HENRYS 301 869 4800// TCL,09/02/0020,3742 BEL PRE RD,SILVER SPRING,POINT (-77.07478 39.093476)
08/19/2020,2007,TOYT,COA,NOP,AUBURN TOWING,NOP  AUBURN 301-977-2740  TCL,08/21/0020,18515 NUTMEG PL,GERMANTOWN,POINT (-77.262634 39.161044)
08/19/2020,2004,SATR,NULL,NOP,tcl,NOP// HENRYS// 3018694800// TCL,08/21/0020,19134 CLOVER MEADOW PL,GAITHERSBURG,POINT (-77.232069 39.170223)
08/03/2020,2004,TOYT,CAM,NOP,Speedy,NOP // SPEEDY 301-588-1322 // TCL,03/22/0008,4346 REGALWOOD TER,BURTONSVILLE,POINT (-76.918909 39.100404)
08/30/2020,2020,DODG,CHA,RESERVED [KG,PRESTIGE,RESERVED SPACE PRESTIGE  301-377-9285  TCL,09/01/0020,925 CLOPPER RD,GAITHERSBURG,POINT (-77.22689 39.145229)
08/23/2020,2015,INFI,250,NOP,tcl,NOP // BIG TOW 301-424-4869 TCL,08/25/0020,10313 RIDGELINE DR,MONTGOMERY VILLAGE,POINT (-77.207365 39.175272)
08/20/2020,2002,HOND,CIV,ABN,tcl,"VEH ABND ON PROP// AUTHORIZED, 301-562-4020, TCL",08/22/0020,15106 FREDERICK RD,ROCKVILLE,POINT (-77.157325 39.105036)
08/01/2020,2007,LEXS,RX4,PKG,TCL,DRIVE // 301 585 8808 // DOUBLE PARKED // TCL,01/22/0008,618 BEACON RD,SILVER SPRING,POINT (-76.984411 39.006491)
08/23/2020,2007,HOND,PLT,NOP,henrys,,08/25/0020,19501 GUNNERS BRANCH RD,GERMANTOWN,POINT (-77.241991 39.17633)
08/05/2020,13,CHEV,SLV,NOP,TCL,NO PERMIT// AUTHORIZED 301-562-4020//TCL,05/22/0008,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
08/21/2020,2003,FORD,F15,ABN,VRS,ABAND / CUSTOM 301-253-5151 / AVS,08/23/0020,9206 COMPTON ST,SILVER SPRING,POINT (-76.993897 39.007419)
08/06/2020,1998,FORD,F15,NOP,tcl,NOP  AUTHORIZED 301-562-4020  TCL,06/22/0008,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
08/08/2020,2016,MERZ,ECLASS,FIRE,Speedy,FIRE LANE // SPEEDY 301-588-1322 // TCL,08/22/0008,4401 CANNES LN,OLNEY,POINT (-77.087747 39.142252)
08/24/2020,2016,VOLK,PAS,PKG,AUTHORIZE,,08/26/0020,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
08/07/2020,20,NISS,ALT,PKG,tcl,RESERVED PARKING // HENRYS TOWING 301-927-0007 // BTL,07/22/0008,1131 UNIVERSITY BLVD W,SILVER SPRING,POINT (-77.029691 39.036547)
08/10/2020,2014,VOLK,JET,PKG,TCL,VEH PARKED IN RESERVED SPOT AUTHORIZED 301-562-4020,10/22/0008,9914 SHELBURNE TER,GAITHERSBURG,POINT (-77.204593 39.116232)
08/05/2020,2014,TOYT,CAM,NOP,NULL,HENRY'S  301 869 4800   TCL  // NOP,05/22/0008,12900 CHURCHILL RIDGE CIR,GERMANTOWN,POINT (-77.266495 39.187267)
,,,,,,,,,,
08/07/2020,2008,HYUN,SFE,NOP,TCL,NOP // AUBURN @ 301.977.2740 // TCL,07/22/0008,374 N SUMMIT AVE,GAITHERSBURG,POINT (-77.193068 39.149053)
08/14/2020,2012,FORD,FUS,NOP,BIG TOW TOWING,NO PERMIT / BIG TOW 3014244869 TCL,08/16/0020,2382 SUN VALLEY CIR,SILVER SPRING,POINT (-77.048652 39.092004)
08/22/2020,2007,HOND,ACC,PRV,TCL,PRV // PRESTIGE 301.377.9285 TCL,08/24/0020,3900 BLACKBURN LN,BURTONSVILLE,POINT (-76.9307 39.104619)
08/27/2020,2019,SUBA,LEG,NOP,tcl,UNREADABLE VIN - NO PERMIT // HENRY'S // 301-927-0007 // TCL,08/29/0020,5419 GROVE RIDGE WAY,ROCKVILLE,POINT (-77.107962 39.027355)
08/21/2020,2014,HYUN,ACC,NOP,TCL,NOP//HENRYS//3018694800,08/23/0020,17720 TOPFIELD DR,GAITHERSBURG,POINT (-77.167007 39.145095)
08/18/2020,2006,PONT,GRM,PRV,TCL,NO OVERNIGHT PARKING//CUSTOM//3012535151,08/20/0020,198 HALPINE RD,ROCKVILLE,POINT (-77.125832 39.06084)
08/28/2020,1995,OLDS,98,PRV,tcl,ON THE RUN TOWING // 301-740-4600  RESERVED SPACE // TCL,08/30/0020,851 E GUDE DR,ROCKVILLE,POINT (-77.140529 39.100434)
08/25/2020,2016,JEEP,COMP,PKG,tcl,HLA CALL-IN FOR RESIDENT IN VISITOR SPACE // HENRYS // 301-869-4800 // TCL,08/27/0020,838 BAYRIDGE DR,GAITHERSBURG,POINT (-77.232806 39.131838)
08/09/2020,2017,KIA,FRT,PKG,TCL,PRIVATE PROP // PRESTIGE 301-377-9285,09/22/0008,1599 E JEFFERSON ST,ROCKVILLE,POINT (-77.129159 39.062423)
08/03/2020,2020,CHEV,MAL,NOP,TCL,NOP // AUTHORIZED // 301-562-4020 // TCL,03/22/0008,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
08/17/2020,2002,DODG,DUR,PKG,NULL,VEH STORED OVER TWO WEEKS MGMT REQ// HENRYS 301 869 4800// TCL,08/19/0020,12118 HERITAGE PARK CIR,SILVER SPRING,POINT (-77.080545 39.055649)
08/17/2020,2012,HYUN,ELN,NOP,tcl,NOP RICKYS 240-461-9995,08/19/0020,3101 HEWITT AVE,SILVER SPRING,POINT (-77.063525 39.079894)
08/22/2020,2018,FORD,EXC,PKG,NULL,DBL PARKED BLOCKING SPOT ACCESS// HENRYS 301 869 4800// TCL,08/24/0020,10 TURTLE DOVE CT,GAITHERSBURG,POINT (-77.186789 39.177899)
08/21/2020,2017,MERZ,NULL,PKG,SPEEDY,PKG / SPEEDY 301 588 1322,08/23/0020,17702 PHELPS HILL LN,DERWOOD,POINT (-77.144806 39.147649)
08/21/2020,2000,FORD,EXP,FIRE,tcl,FIRE LN // HENRYS 301-869-4800 TCL  VIN COVERED,08/23/0020,13000 COUNTRY RIDGE DR,GERMANTOWN,POINT (-77.268856 39.184096)
08/11/2020,2015,FORD,ECP,PKG,TCL,FIRE LANE // SPEEDY // 301-588-1322/ TCL,11/22/0008,14001 COVE LN,ROCKVILLE,POINT (-77.121794 39.085558)
08/26/2020,2015,KIA,SPC,PKG,AUTHORIZED,REASON:  PKG  BACK TO TCL,08/28/0020,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
08/29/2020,2018,MERZ,E40,NOP,TCL,"AUTHORIZED (301) 562-4020, NOP,  BACK TO THE LOT //",08/31/0020,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
08/14/2020,20,TOYT,CHR,NOP,henrys,NOP HENRYS 3018694800 TCL,08/16/0020,19520 WATERS RD,GERMANTOWN,POINT (-77.273136 39.175905)
08/14/2020,2018,NISS,RGE,PRV,prestige,PRIV PROP  PRESTIGE - 301 377 9285 - BTL,08/16/0020,780 QUINCE ORCHARD BLVD,GAITHERSBURG,POINT (-77.228804 39.139742)
08/25/2020,2017,MERZ,E30,NOP,authorized,NOP  AUTHORIZED    301-562-4020  TCL,08/27/0020,370 E DIAMOND AVE,GAITHERSBURG,POINT (-77.190888 39.142111)
08/04/2020,1998,NISS,MAX,PKG,prestige,"PKG  PRESTIGE,  301-377-9285, TCL",04/22/0008,14301 GEORGIA AVE,SILVER SPRING,POINT (-77.079771 39.090489)
08/29/2020,2019,TOYT,COA,NOP,TLC,"HENRYS (301) 927-0007, NOP, BACK TO THE LOT //",08/31/0020,8455 FENTON ST,SILVER SPRING,POINT (-77.024661 38.995995)
08/10/2020,2004,TOYT,4RN,PKG,TCL,PKG- HENRY'S - 301-927-0007- TCL,10/22/0008,8830 PINEY BRANCH RD,SILVER SPRING,POINT (-76.993067 38.999737)
08/14/2020,2008,TOYT,PRI,PRV,tcl,RICKYS 240-461-9995  RESIDENT PARKED IN VISTOR // TCL,08/16/0020,19214 CIRCLE GATE DR,GERMANTOWN,POINT (-77.264784 39.169607)
08/01/2020,2005,HOND,CIV,PKG,NULL,NO OVERNIGHT PARKING // DRIVE 301 585 8808// TCL,01/22/0008,901 STODDARD PL,SILVER SPRING,POINT (-77.025848 38.988099)
08/22/2020,2017,NISS,ROU,NOP,tcl,NOP// HENRYS// 3018694800// TCL,08/24/0020,18802 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204927 39.164385)
08/02/2020,16,NISS,ALT,NOP,TCL,EXP VISITER PERMIT // DIVERSIFIED // 301 881 8035 // TCL,02/22/0008,3 POOKS HILL RD,BETHESDA,POINT (-77.105232 39.014511)
08/20/2020,2018,VOL,NULL,NOP,HENRYS,NOP // TCL HENRYS (301) 869-4800,08/22/0020,12001 OLD COLUMBIA PIKE,SILVER SPRING,POINT (-76.975033 39.053272)
08/15/2020,2002,FORD,EXP,NOP,TCL,NO PERMIT // SPEEDY 301-588-1322 // TCL,08/17/0020,14008 COVE LN,ROCKVILLE,POINT (-77.120256 39.084895)
08/20/2020,2014,FORD,ESC,NOP,TCL,NO PERMIT DISPLAYED // HENRY'S 301-869-4800 // TCL,08/22/0020,14642 TYNEWICK TER,SILVER SPRING,POINT (-77.077618 39.096506)
08/21/2020,13,TOYT,COA,NOP,TCL,NOP // BIG TOW // 301 424 4869 // TCL,08/23/0020,9703 BRASSIE WAY,MONTGOMERY VILLAGE,POINT (-77.201788 39.175211)
08/26/2020,2013,HOND,CIV,PKG,TCL,DOUBLE PARKED  // SPEEDY @ 301-588-1322 // TCL,08/28/0020,22414 GLENBOW WAY,CLARKSBURG,POINT (-77.272888 39.223369)
08/30/2020,2020,HYUN,ELN,NOP,authorized,NOP//AUTHORIZED// 301-562-4020//TCL,09/01/0020,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
08/24/2020,2016,CHEV,CRS,Np[,AUBURN TOWING,NOP // AUBURN 301-977-2740 // TCL,08/26/0020,374 N SUMMIT AVE,GAITHERSBURG,POINT (-77.193068 39.149053)
08/13/2020,2016,JEEP,WRG,NOP,tcl,(301) 588-1322 // SPEEDY // NO P // TCL,08/15/0020,8615 FENTON ST,SILVER SPRING,POINT (-77.027717 38.997959)
08/14/2020,2009,HOND,ODY,NOP,speedy,NO PERMIT // SPEEDY 301-588-1322 // TCL,08/16/0020,8615 FENTON ST,SILVER SPRING,POINT (-77.027717 38.997959)
08/05/2020,2003,MAZD,TRB,PKG,tcl,AUTH//301-562-4020//TCL//PKG RESERVED SPACE,05/22/0008,9533 COPPS HILL DR,MONTGOMERY VILLAGE,POINT (-77.195803 39.153266)
08/29/2020,2004,FORD,RAH,NOP,OTHER,NOP // RBS TOWING 240-713-2272 //TCL,08/31/0020,600 UNIVERSITY BLVD E,SILVER SPRING,POINT (-76.995694 39.002555)
08/11/2020,2007,NISS,ALT,72,AAU,NO PERMIT // HENRY'S 301 869 4800 // TO TCL,08/22/0008,14501 DUNSINANE TER,SILVER SPRING,POINT (-77.07408 39.094852)
08/04/2020,2006,HOND,CRV,PKG,TCL,IN VISITORS SPACE / HENRYS 301 869 4800 / TCL,04/22/0008,12925 BIG HORN DR,SILVER SPRING,POINT (-76.939993 39.066396)
08/30/2020,2017,VOLK,JET,NOP,TCL,"HENRY'S (301) 869-4800, NOP, BACK TO THE LOT //",09/01/0020,20410 SHORE HARBOUR DR,GERMANTOWN,POINT (-77.283112 39.190074)
08/17/2020,2005,MAZD,,PRk,tcl,MAZDA 6// TWO FLAT TIRES// HENRYS//301-869-4800//TCL,08/19/0020,11921 OLD COLUMBIA PIKE,SILVER SPRING,POINT (-76.975057 39.053258)
08/12/2020,2018,FORD,EXP,EXP,tcl,EXP PERM // HENRY'S 301-869-4800 // TCL,12/22/0008,5901 MONTROSE RD,ROCKVILLE,POINT (-77.1192 39.052973)
08/29/2020,2017,TOYT,COA,PKG,TCL,NO OVERNIGHT PKG // HENRY'S // 301 869 4800 // TCL,08/31/0020,9140 ROTHBURY DR,MONTGOMERY VILLAGE,POINT (-77.189212 39.185518)
08/25/2020,18,MAZD,MZ6,NOP,TCL,NOP // HENRYS 301-927-0007 // TCL,08/27/0020,8616 2ND AVE,SILVER SPRING,POINT (-77.033732 38.997234)
08/13/2020,2016,NISS,ALT,FIRE,DIVERSFD,PARKED IN FIRE LANE // DIVERSIFY 301-881-8035 // TCL,08/15/0020,10250 WESTLAKE DR,BETHESDA,POINT (-77.149295 39.024606)
08/21/2020,2001,TOYT,TUN,PKG,TCL,AUTH 3015624020  PKG   TCL,08/23/0020,9733 LAKE SHORE DR,MONTGOMERY VILLAGE,POINT (-77.199136 39.160466)
08/18/2020,2012,FORD,FUS,NOP,HENRYS,NO PERMIT // HENRYS 301 927 0007 // TCL,08/20/0020,11944 CRIMSON LN,SILVER SPRING,POINT (-76.97386 39.052114)
08/03/2020,2019,CHEV,CRZ,NOP,tcl,"NOP// HENRY'S, TCL, 3019270007",03/22/0008,8455 FENTON ST,SILVER SPRING,POINT (-77.024661 38.995995)
08/09/2020,2019,NISS,SEN,NOP,TCL,NOP/WALKING OFF// DRIVE TOWING 301.585.8808// TCL,09/22/0008,901 STODDARD PL,SILVER SPRING,POINT (-77.025848 38.988099)
